algorithm,k,superholderpriority,path,recall
transitive_alpha0.4,1,1,1,0.994884910485933
transitive_alpha0.4,1,0,2,0
transitive_alpha0.4,1,1,2,0.916299559471366
transitive_alpha0.4,1,0,3,0
transitive_alpha0.4,1,1,3,0.894444444444445
transitive_alpha0.4,1,0,4,0
transitive_alpha0.4,1,1,4,0.908045977011494
transitive_alpha0.4,1,0,5,0
transitive_alpha0.4,1,1,5,1
transitive_alpha0.4,1,0,6,0
transitive_alpha0.4,1,1,6,1
transitive_alpha0.4,1,0,7,0
transitive_alpha0.4,1,1,7,1
transitive_alpha0.4,1,0,8,0
transitive_alpha0.4,1,1,8,1
transitive_alpha0.4,1,0,9,0
transitive_alpha0.4,1,1,9,0.904761904761905
transitive_alpha0.4,1,0,10,0
transitive_alpha0.4,1,1,10,1
transitive_alpha0.4,1,0,11,0
transitive_alpha0.4,1,1,11,1
transitive_alpha0.4,1,0,12,0
transitive_alpha0.4,1,1,12,1
transitive_alpha0.5,1,0,1,0.994884910485933
transitive_alpha0.5,1,1,1,0.994884910485933
transitive_alpha0.5,1,0,2,0.0572687224669604
transitive_alpha0.5,1,1,2,0.92511013215859
transitive_alpha0.5,1,0,3,0
transitive_alpha0.5,1,1,3,0.894444444444445
transitive_alpha0.5,1,0,4,0
transitive_alpha0.5,1,1,4,0.908045977011494
transitive_alpha0.5,1,0,5,0
transitive_alpha0.5,1,1,5,1
transitive_alpha0.5,1,0,6,0
transitive_alpha0.5,1,1,6,1
transitive_alpha0.5,1,0,7,0
transitive_alpha0.5,1,1,7,1
transitive_alpha0.5,1,0,8,0
transitive_alpha0.5,1,1,8,1
transitive_alpha0.5,1,0,9,0
transitive_alpha0.5,1,1,9,0.904761904761905
transitive_alpha0.5,1,0,10,0
transitive_alpha0.5,1,1,10,1
transitive_alpha0.5,1,0,11,0
transitive_alpha0.5,1,1,11,1
transitive_alpha0.5,1,0,12,0
transitive_alpha0.5,1,1,12,1
transitive_alpha0.6,1,0,1,0.9923273657289
transitive_alpha0.6,1,1,1,0.994884910485933
transitive_alpha0.6,1,0,2,0.0881057268722467
transitive_alpha0.6,1,1,2,0.92511013215859
transitive_alpha0.6,1,0,3,0
transitive_alpha0.6,1,1,3,0.894444444444445
transitive_alpha0.6,1,0,4,0
transitive_alpha0.6,1,1,4,0.908045977011494
transitive_alpha0.6,1,0,5,0
transitive_alpha0.6,1,1,5,1
transitive_alpha0.6,1,0,6,0
transitive_alpha0.6,1,1,6,1
transitive_alpha0.6,1,0,7,0
transitive_alpha0.6,1,1,7,1
